time,device,source,rssi,tag
2022-10-27 22:17:22.994000+00:00,aysylu watch,basement_beacon,-81,basement-david-20221027
2022-10-27 22:17:23.920646+00:00,david phone,living_room_blinds,-77,basement-david-20221027
2022-10-27 22:17:24.612488+00:00,david watch,basement_beacon,-68,basement-david-20221027
2022-10-27 22:17:24.912528+00:00,david phone,basement_beacon,-36,basement-david-20221027
2022-10-27 22:17:24.922387+00:00,aysylu watch,bedroom_blinds,-88,basement-david-20221027
2022-10-27 22:17:24.937060+00:00,aysylu watch,basement_beacon,-80,basement-david-20221027
2022-10-27 22:17:25.741248+00:00,david phone,living_room_blinds,-77,basement-david-20221027
2022-10-27 22:17:26.844647+00:00,david phone,basement_beacon,-35,basement-david-20221027
2022-10-27 22:17:27.674343+00:00,david watch,living_room_blinds,-77,basement-david-20221027
2022-10-27 22:17:27.675070+00:00,david phone,living_room_blinds,-72,basement-david-20221027
2022-10-27 22:17:28.788780+00:00,david phone,basement_beacon,-36,basement-david-20221027
2022-10-27 22:17:29.099082+00:00,aysylu watch,basement_beacon,-83,basement-david-20221027
2022-10-27 22:17:29.608973+00:00,david phone,living_room_blinds,-78,basement-david-20221027
2022-10-27 22:17:30.676362+00:00,david watch,basement_beacon,-53,basement-david-20221027
2022-10-27 22:17:30.736041+00:00,david phone,basement_beacon,-35,basement-david-20221027
2022-10-27 22:17:31.044497+00:00,aysylu watch,basement_beacon,-80,basement-david-20221027
2022-10-27 22:17:31.482530+00:00,david watch,living_room_blinds,-79,basement-david-20221027
2022-10-27 22:17:31.877036+00:00,aysylu watch,bedroom_blinds,-91,basement-david-20221027
2022-10-27 22:17:31.976240+00:00,aysylu phone,basement_beacon,-79,basement-david-20221027
2022-10-27 22:17:32.785452+00:00,aysylu phone,basement_pi,-98,basement-david-20221027
2022-10-27 22:17:32.812331+00:00,aysylu phone,bedroom_blinds,-90,basement-david-20221027
2022-10-27 22:17:32.859275+00:00,david watch,basement_pi,-87,basement-david-20221027
2022-10-27 22:17:32.876247+00:00,david phone,basement_pi,-89,basement-david-20221027
2022-10-27 22:17:32.964682+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:17:33.741892+00:00,aysylu watch,bedroom_blinds,-85,basement-david-20221027
2022-10-27 22:17:34.567935+00:00,aysylu watch,basement_pi,-92,basement-david-20221027
2022-10-27 22:17:34.843562+00:00,david phone,basement_beacon,-32,basement-david-20221027
